"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 30 16:24:25 MSK 2022","Tue Aug 30 16:24:32 MSK 2022","6820","","cloud.autotests.tests.GeneratedTests","","cloud.autotests.tests.GeneratedTests","generatedTestCon","Проверка консоли на ошибку SERVE","Soon to be implemented by you (or QA.GURU engineers)"
"passed","Tue Aug 30 19:59:13 MSK 2022","Tue Aug 30 19:59:21 MSK 2022","7550","","cloud.autotests.tests.ButtonTest","","cloud.autotests.tests.ButtonTest","genTestButtonTr","genTestButtonTr()","Проверка страницы вакансии на HH.ru"
"passed","Tue Aug 30 19:59:32 MSK 2022","Tue Aug 30 19:59:38 MSK 2022","5285","","cloud.autotests.tests.GeneratedTests","","cloud.autotests.tests.GeneratedTests","genTestInter","Проверка интерактивности элемента","Проверка страницы вакансии на HH.ru"
"broken","Tue Aug 30 19:38:36 MSK 2022","Tue Aug 30 19:38:52 MSK 2022","15270","","cloud.autotests.tests.ParamTest","","cloud.autotests.tests.ParamTest","genTestButton","genTestButton(String, String) проверка эмеил Aaa@Yandex.ru и ответа системы null","Проверка страницы вакансии на HH.ru"
"failed","Tue Aug 30 19:59:43 MSK 2022","Tue Aug 30 19:59:48 MSK 2022","5581","","cloud.autotests.tests.GeneratedTests","","cloud.autotests.tests.GeneratedTests","genTestCon","Проверка консоли на ошибку SERVE","Проверка страницы вакансии на HH.ru"
"failed","Tue Aug 30 19:48:22 MSK 2022","Tue Aug 30 19:48:36 MSK 2022","14143","","cloud.autotests.tests.ParamTest","","cloud.autotests.tests.ParamTest","genTestButton","genTestButton()","Проверка страницы вакансии на HH.ru"
"passed","Tue Aug 30 19:59:38 MSK 2022","Tue Aug 30 19:59:43 MSK 2022","5090","","cloud.autotests.tests.GeneratedTests","","cloud.autotests.tests.GeneratedTests","generatedTest","Проверка заголовков","Проверка страницы вакансии на HH.ru"
"passed","Tue Aug 30 19:59:27 MSK 2022","Tue Aug 30 19:59:32 MSK 2022","5283","","cloud.autotests.tests.GeneratedTests","","cloud.autotests.tests.GeneratedTests","genTestText","Проверка ключевых слов в описании","Проверка страницы вакансии на HH.ru"
"failed","Tue Aug 30 19:38:24 MSK 2022","Tue Aug 30 19:38:36 MSK 2022","11995","","cloud.autotests.tests.ParamTest","","cloud.autotests.tests.ParamTest","genTestButton","genTestButton(String, String) проверка эмеил AaaYandex.re и ответа системы Пожалуйста","Проверка страницы вакансии на HH.ru"
"passed","Tue Aug 30 19:56:27 MSK 2022","Tue Aug 30 19:56:34 MSK 2022","7273","","cloud.autotests.tests.ParamTest","","cloud.autotests.tests.ParamTest","genTestButtonTr","genTestButtonTr()","Проверка страницы вакансии на HH.ru"
"passed","Tue Aug 30 19:59:21 MSK 2022","Tue Aug 30 19:59:27 MSK 2022","6135","","cloud.autotests.tests.ButtonTest","","cloud.autotests.tests.ButtonTest","genTestButton","genTestButton()","Проверка страницы вакансии на HH.ru"
"passed","Tue Aug 30 17:22:15 MSK 2022","Tue Aug 30 17:22:22 MSK 2022","6862","","cloud.autotests.tests.GeneratedTests","","cloud.autotests.tests.GeneratedTests","genTestButton","проверка кнопки 'Откликнуться'","Проверка страницы вакансии на HH.ru"
